Task,Going,Done,Wait For
NX-001,FALSE,TRUE,
NX-002,FALSE,TRUE,NX-001
NX-003,FALSE,TRUE,"NX-001, NX-002"
NX-004,FALSE,TRUE,"NX-001, NX-002"
NX-005,TRUE,FALSE,"NX-003, NX-004"
NX-006,FALSE,TRUE,NX-001
NX-007,FALSE,FALSE,NX-001
NX-008,FALSE,FALSE,"NX-001, NX-002, NX-006, NX-007"
NX-009,FALSE,FALSE,NX-008
NX-010,FALSE,TRUE,"NX-003, NX-004, NX-005"
NX-011,TRUE,FALSE,NX-010
NX-012,FALSE,FALSE,"NX-010, NX-011"
NX-013,FALSE,FALSE,NX-012
NX-014,FALSE,FALSE,"NX-012, NX-013"
NX-015,FALSE,FALSE,"NX-010, NX-004"
NX-016,FALSE,FALSE,NX-010
NX-017,FALSE,FALSE,"NX-010, NX-011, NX-014, NX-015, NX-016"
NX-018,FALSE,FALSE,NX-017
NX-019,FALSE,FALSE,"NX-017, NX-018"
NX-020,FALSE,FALSE,"NX-003, NX-005"
NX-021,FALSE,FALSE,"NX-020, NX-012, NX-013, NX-003"
NX-022,FALSE,FALSE,"NX-020, NX-012, NX-013, NX-003"
NX-023,FALSE,FALSE,NX-020
NX-024,FALSE,FALSE,"NX-022, NX-020"
NX-025,FALSE,FALSE,"NX-022, NX-020"
NX-026,FALSE,FALSE,NX-020
NX-027,FALSE,FALSE,"NX-020, NX-003, NX-005"
NX-028,FALSE,FALSE,"NX-003, NX-010"
NX-029,FALSE,FALSE,"NX-027, NX-028"
NX-030,FALSE,FALSE,"NX-010, NX-011"
NX-031,FALSE,FALSE,"NX-030, NX-012, NX-013, NX-003"
NX-032,FALSE,FALSE,"NX-030, NX-012, NX-013, NX-003"
NX-033,FALSE,FALSE,"NX-030, NX-012, NX-013, NX-003"
NX-034,FALSE,FALSE,"NX-030, NX-012, NX-013, NX-003"
NX-035,FALSE,FALSE,"NX-030, NX-012, NX-013, NX-003"
NX-036,FALSE,FALSE,"NX-015, NX-030, NX-003"
NX-037,FALSE,FALSE,"NX-031, NX-032, NX-033, NX-034, NX-035"
NX-038,FALSE,FALSE,NX-037
NX-039,FALSE,FALSE,"NX-037, NX-038"
NX-040,FALSE,TRUE,"NX-001, NX-002, NX-003"
NX-041,FALSE,FALSE,NX-040
NX-042,FALSE,FALSE,"NX-040, NX-003"
NX-043,FALSE,FALSE,"NX-012, NX-013, NX-040"
NX-044,FALSE,FALSE,"NX-031, NX-032, NX-033, NX-040"
NX-045,FALSE,FALSE,"NX-043, NX-034"
NX-046,FALSE,FALSE,"NX-012, NX-013, NX-040, NX-004"
NX-047,FALSE,FALSE,"NX-044, NX-045"
NX-048,FALSE,FALSE,NX-047
NX-049,FALSE,FALSE,"NX-047, NX-048"
NX-050,FALSE,FALSE,"NX-003, NX-004, NX-005"
NX-051,FALSE,FALSE,NX-050
NX-052,FALSE,FALSE,NX-050
NX-053,FALSE,FALSE,NX-050
NX-054,FALSE,FALSE,"NX-050, NX-031"
NX-055,FALSE,FALSE,"NX-051, NX-052, NX-053"
NX-056,FALSE,FALSE,NX-051
NX-057,FALSE,FALSE,"NX-051, NX-053"
NX-058,FALSE,FALSE,NX-051
NX-059,FALSE,FALSE,NX-051
NX-060,FALSE,TRUE,"NX-010, NX-020, NX-040"
NX-061,FALSE,FALSE,NX-060
NX-062,FALSE,FALSE,"NX-006, NX-060, NX-010, NX-020, NX-040"
NX-063,FALSE,FALSE,"NX-006, NX-060, NX-010, NX-020"
NX-064,FALSE,FALSE,"NX-041, NX-043, NX-021"
NX-065,FALSE,FALSE,"NX-041, NX-043, NX-024"
NX-066,FALSE,FALSE,"NX-061, NX-062, NX-063, NX-064"
NX-067,FALSE,FALSE,"NX-060, NX-061"
NX-068,FALSE,FALSE,NX-062
NX-069,FALSE,FALSE,"NX-063, NX-064"
NX-070,FALSE,FALSE,"NX-010, NX-020"
NX-071,FALSE,FALSE,"NX-070, NX-010, NX-020"
NX-072,FALSE,FALSE,"NX-012, NX-013"
NX-073,FALSE,FALSE,"NX-012, NX-013, NX-034"
NX-074,FALSE,FALSE,"NX-070, NX-071, NX-072, NX-073"
NX-075,FALSE,FALSE,NX-074
NX-076,FALSE,FALSE,"NX-074, NX-075"
NX-077,FALSE,FALSE,NX-074
NX-078,FALSE,FALSE,NX-074
NX-079,FALSE,FALSE,NX-078
NX-080,FALSE,FALSE,"NX-027, NX-005"
NX-081,FALSE,FALSE,"NX-027, NX-005"
NX-082,FALSE,FALSE,NX-027
NX-083,FALSE,FALSE,NX-027
NX-084,FALSE,FALSE,"NX-080, NX-081, NX-082, NX-083"
NX-085,FALSE,FALSE,NX-084
NX-086,FALSE,FALSE,NX-084
NX-087,FALSE,FALSE,"NX-084, NX-085, NX-086"
NX-088,FALSE,FALSE,NX-084
NX-089,FALSE,FALSE,NX-087
NX-090,FALSE,FALSE,"NX-087, NX-088"
NX-091,FALSE,FALSE,NX-087
NX-092,FALSE,FALSE,NX-087
NX-093,FALSE,FALSE,NX-087
NX-094,FALSE,FALSE,NX-087
NX-095,FALSE,FALSE,NX-087
NX-096,FALSE,FALSE,NX-087
NX-097,FALSE,FALSE,NX-087
